"#instruction","registertype","num operands","imm op","test mode","instr set","options"
,,,,,,
"$text=Floating point vector permute instructions etc.",,,,,,
,,,,,,
"#vmaskmovps",,,,,,
"#vmaskmovpd",,,,,,
,,,,,,
"movddup",128,2,,"lt","sse3",
"movddup/movd","m0/128","2/2",,"rndtr","sse3",
"vmovddup",256,2,,"lt","avx",
"vmovddup",512,2,,"lt","avx512",
,,,,,,
"movsldup",128,2,,"ltm","sse3",
"vmovsldup",256,2,,"lt","avx",
"vmovsldup",512,2,,"lt","avx512",
"movshdup",128,2,,"ltm","sse3",
"vmovshdup",256,2,,"lt","avx",
"vmovshdup",512,2,,"lt","avx512",
,,,,,,
"vbroadcastss/movss","m32/128","2/2",,"rndtr","avx",
"vbroadcastss/n/movss","m32/256/128","2/2/2",,"rndtr1","avx",
"vbroadcastss/n/movss","m32/512/128","2/2/2",,"rndtr1","avx512",
"vbroadcastss",128,2,,"lt","avx2",
"vbroadcastss/n","128/256","2/2",,"rndtr1","avx2",
"vbroadcastss/n","128/512","2/2",,"rndtr1","avx512",
,,,,,,
"vbroadcastsd/n/movsd","m64/256/128","2/2/2",,"rndtr1","avx",
"vbroadcastsd/n/movsd","m64/512/128","2/2/2",,"rndtr1","avx512",
"vbroadcastsd/n","128/256","2/2",,"rndtr1","avx2",
"vbroadcastsd/n","128/512","2/2",,"rndtr1","avx512",
,,,,,,
"vbroadcastf32x2/n/movsd","m64/512/128","2/2/2",,"rndtr1","avx512dq",
"vbroadcastf32x2/n","128/512","2/2",,"rndtr1","avx512dq",
"vbroadcastf32x4/n/vmovaps","m128/512/128","2/2/2",,"rndtr1","avx512",
"vbroadcastf64x2/n/vmovaps","m128/512/128","2/2/2",,"rndtr1","avx512dq",
"vbroadcastf32x8/n/vmovaps","m256/512/256","2/2/2",,"rndtr1","avx512dq",
"vbroadcastf64x4/n/vmovaps","m256/512/256","2/2/2",,"rndtr1","avx512",
"vbroadcastf128/n/vmovaps","m128/256/128","2/2/2",,"rndtr1","avx",
,,,,,,
"unpcklps",128,2,,"ltm","sse",
"vunpcklps",256,3,,"ltm","avx",
"vunpcklps",512,3,,"lt","avx512",
"unpckhps",128,2,,"lt","sse",
"vunpckhps",256,3,,"lt","avx",
"vunpckhps",512,3,,"lt","avx512",
"unpcklpd",128,2,,"ltm","sse2",
"vunpcklpd",256,3,,"lt","avx",
"vunpcklpd",512,3,,"lt","avx512",
"unpcklpd",128,2,,"lt","sse",
"vunpcklpd",256,3,,"lt","avx",
"vunpcklpd",512,3,,"lt","avx512",
,,,,,,
"insertps",128,2,1,"lt","sse4.1",
"insertps/movss","m32/128","2/2","1/n","rndtr1","sse4.1",
"vinsertf128/n","128/256","3x/2","1/n","rndtr1","avx",
"vinsertf128/n/vmovaps","m128/256/128","3/2/2","1/n/n","rndtr1","avx",
"vinsertf32x4/n","128/512","3x/2","1/n","rndtr1","avx512",
"vinsertf32x4/n/vmovaps","m128/512/128","3/2/2","1/n/n","rndtr1","avx512",
"vinsertf64x2/n/vmovaps","m128/512/128","3/2/2","1/n/n","rndtr1","avx512dq",
"vinsertf64x4/n/vmovaps","m256/512/256","3/2/2","1/n/n","rndtr1","avx512",
"vinsertf64x2/n","128/512","3x/2","1/n","rndtr1","avx512dq",
"vinsertf64x4/n","256/512","3x/2","1/n","rndtr1","avx512",
,,,,,,
"vextractf128/n","256/128","2/2","1/n","rndtr1","avx",
"vextractf128/vmovaps/n","256/m128/128","2/2/2","1/n/n","rndtr1","avx",
"vextractf32x4/n","512/128","2/2","1/n","rndtr1","avx512",
"vextractf32x4/vmovaps/n","512/m128/128","2/2/2","1/n/n","rndtr1","avx512",
"vextractf64x2/n","512/128","2/2","1/n","rndtr1","avx512dq",
"vextractf32x8/n","512/256","2/2","1/n","rndtr1","avx512dq",
